id,D_INTERVIEW,B_COUNTRY_ALPHA,Country_label,dependiente,full_prompt
603,20070603,AND,Andorra,Q238,"Imagine you are a 26-year-old man, working as a professional or technical worker, with postgraduate education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
768,20070768,AND,Andorra,Q238,"Imagine you are a 39-year-old man, working as a semi-skilled worker, with secondary education, identifying as upper class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
709,20070709,AND,Andorra,Q238,"Imagine you are a 49-year-old woman, working as a clerical worker, with higher education, identifying as upper middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
91,20070091,AND,Andorra,Q238,"Imagine you are a 53-year-old woman, working as a professional or technical worker, with higher education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
953,20070953,AND,Andorra,Q238,"Imagine you are a 80-year-old man, working as a semi-skilled worker, with secondary education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
1846,32070842,ARG,Argentina,Q238,"Imagine you are a 24-year-old man, working as a sales worker, with secondary education, identifying as working class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
1027,32070023,ARG,Argentina,Q238,"Imagine you are a 31-year-old woman, working as a unskilled worker, with secondary education, identifying as working class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
1927,32070923,ARG,Argentina,Q238,"Imagine you are a 65-year-old woman, who never had a job, with low education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
1960,32070956,ARG,Argentina,Q238,"Imagine you are a 58-year-old man, working as a sales worker, with secondary education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
1313,32070309,ARG,Argentina,Q238,"Imagine you are a 24-year-old woman, working as a sales worker, with higher education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
2463,51070456,ARM,Armenia,Q238,"Imagine you are a 61-year-old woman, working as a skilled worker, with higher education, identifying as lower middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
2605,51070598,ARM,Armenia,Q238,"Imagine you are a 34-year-old woman, working as a semi-skilled worker, with secondary education, identifying as working class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
3070,51071063,ARM,Armenia,Q238,"Imagine you are a 27-year-old man, working as a professional or technical worker, with postgraduate education, identifying as working class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
3190,51071183,ARM,Armenia,Q238,"Imagine you are a 58-year-old man, working as a higher administrative, with higher education, identifying as unspecified class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
2759,51070752,ARM,Armenia,Q238,"Imagine you are a 67-year-old man, working as a service worker, with higher education, identifying as upper middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
4917,36071686,AUS,Australia,Q238,"Imagine you are a 26-year-old man, working as a sales worker, with higher education, identifying as lower middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
4244,36071013,AUS,Australia,Q238,"Imagine you are a 70-year-old woman, working as a professional or technical worker, with secondary education, identifying as upper middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
4339,36071108,AUS,Australia,Q238,"Imagine you are a 63-year-old woman, working as a sales worker, with secondary education, identifying as lower middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
3395,36070164,AUS,Australia,Q238,"Imagine you are a 28-year-old woman, working as a professional or technical worker, with postgraduate education, identifying as lower middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
4902,36071671,AUS,Australia,Q238,"Imagine you are a 53-year-old man, working as a sales worker, with postgraduate education, identifying as lower middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
5469,50070426,BGD,Bangladesh,Q238,"Imagine you are a 40-year-old woman, who never had a job, with low education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
6072,50071029,BGD,Bangladesh,Q238,"Imagine you are a 35-year-old woman, who never had a job, with low education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
5369,50070326,BGD,Bangladesh,Q238,"Imagine you are a 39-year-old woman, who never had a job, with low education, identifying as lower class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
5832,50070789,BGD,Bangladesh,Q238,"Imagine you are a 28-year-old man, working as a farm worker, with low education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a democratic political system"
