id,D_INTERVIEW,B_COUNTRY_ALPHA,Country_label,dependiente,full_prompt
415,20070415,AND,Andorra,Q199,"Imagine you are a 51-year-old man, working as a unspecified occupation, with higher education, identifying as lower middle class, in Andorra.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
463,20070463,AND,Andorra,Q199,"Imagine you are a 54-year-old woman, working as a professional or technical worker, with higher education, identifying as upper middle class, in Andorra.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
179,20070179,AND,Andorra,Q199,"Imagine you are a 56-year-old man, working as a semi-skilled worker, with low education, identifying as working class, in Andorra.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
526,20070526,AND,Andorra,Q199,"Imagine you are a 68-year-old woman, working as a sales worker, with low education, identifying as lower middle class, in Andorra.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
195,20070195,AND,Andorra,Q199,"Imagine you are a 69-year-old woman, working as a clerical worker, with secondary education, identifying as lower middle class, in Andorra.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
1215,32070211,ARG,Argentina,Q199,"Imagine you are a 60-year-old man, who never had a job, with secondary education, identifying as lower class, in Argentina.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
1936,32070932,ARG,Argentina,Q199,"Imagine you are a 48-year-old woman, working as a unskilled worker, with low education, identifying as upper middle class, in Argentina.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
1594,32070590,ARG,Argentina,Q199,"Imagine you are a 35-year-old man, working as a sales worker, with secondary education, identifying as upper middle class, in Argentina.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
1597,32070593,ARG,Argentina,Q199,"Imagine you are a 65-year-old woman, working as a unspecified occupation, with low education, identifying as lower middle class, in Argentina.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
1559,32070555,ARG,Argentina,Q199,"Imagine you are a 35-year-old man, working as a sales worker, with secondary education, identifying as lower middle class, in Argentina.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
2595,51070588,ARM,Armenia,Q199,"Imagine you are a 70-year-old man, working as a professional or technical worker, with higher education, identifying as unspecified class, in Armenia.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
2148,51070141,ARM,Armenia,Q199,"Imagine you are a 46-year-old woman, working as a professional or technical worker, with higher education, identifying as upper middle class, in Armenia.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
2729,51070722,ARM,Armenia,Q199,"Imagine you are a 33-year-old woman, who never had a job, with secondary education, identifying as upper middle class, in Armenia.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
2866,51070859,ARM,Armenia,Q199,"Imagine you are a 65-year-old woman, working as a sales worker, with higher education, identifying as lower middle class, in Armenia.  How interested would you say you are in politics? Are you: Very interested, Somewhat interested, Not very interested, Not at all interested "
