id,D_INTERVIEW,B_COUNTRY_ALPHA,Country_label,dependiente,full_prompt
938,20070938,AND,Andorra,Q235,"Imagine you are a 74-year-old man, working as a semi-skilled worker, with low education, identifying as working class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
818,20070818,AND,Andorra,Q235,"Imagine you are a 38-year-old woman, working as a sales worker, with higher education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
118,20070118,AND,Andorra,Q235,"Imagine you are a 67-year-old woman, working as a clerical worker, with secondary education, identifying as working class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
299,20070299,AND,Andorra,Q235,"Imagine you are a 58-year-old woman, working as a clerical worker, with higher education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
229,20070229,AND,Andorra,Q235,"Imagine you are a 47-year-old man, working as a higher administrative, with postgraduate education, identifying as upper middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
1875,32070871,ARG,Argentina,Q235,"Imagine you are a 21-year-old man, working as a unspecified occupation, with secondary education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
1377,32070373,ARG,Argentina,Q235,"Imagine you are a 31-year-old man, working as a skilled worker, with secondary education, identifying as lower class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
1848,32070844,ARG,Argentina,Q235,"Imagine you are a 20-year-old woman, working as a sales worker, with secondary education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
1147,32070143,ARG,Argentina,Q235,"Imagine you are a 66-year-old man, working as a clerical worker, with secondary education, identifying as upper middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
1548,32070544,ARG,Argentina,Q235,"Imagine you are a 65-year-old woman, working as a sales worker, with low education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
2301,51070294,ARM,Armenia,Q235,"Imagine you are a 61-year-old woman, working as a professional or technical worker, with higher education, identifying as upper middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
2284,51070277,ARM,Armenia,Q235,"Imagine you are a 30-year-old woman, working as a unskilled worker, with secondary education, identifying as working class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
2048,51070041,ARM,Armenia,Q235,"Imagine you are a 63-year-old woman, working as a professional or technical worker, with postgraduate education, identifying as upper middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
2438,51070431,ARM,Armenia,Q235,"Imagine you are a 23-year-old woman, working as a professional or technical worker, with postgraduate education, identifying as lower middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
2097,51070090,ARM,Armenia,Q235,"Imagine you are a 18-year-old woman, who never had a job, with secondary education, identifying as working class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
3901,36070670,AUS,Australia,Q235,"Imagine you are a 35-year-old woman, working as a clerical worker, with higher education, identifying as lower middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
3351,36070120,AUS,Australia,Q235,"Imagine you are a 79-year-old woman, working as a sales worker, with secondary education, identifying as working class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
4364,36071133,AUS,Australia,Q235,"Imagine you are a 23-year-old woman, working as a clerical worker, with higher education, identifying as unspecified class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
4412,36071181,AUS,Australia,Q235,"Imagine you are a 24-year-old man, working as a skilled worker, with higher education, identifying as upper middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
4318,36071087,AUS,Australia,Q235,"Imagine you are a 54-year-old woman, working as a clerical worker, with higher education, identifying as upper middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
5890,50070847,BGD,Bangladesh,Q235,"Imagine you are a 28-year-old woman, who never had a job, with secondary education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
6180,50071137,BGD,Bangladesh,Q235,"Imagine you are a 46-year-old man, working as a sales worker, with secondary education, identifying as lower middle class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
6026,50070983,BGD,Bangladesh,Q235,"Imagine you are a 21-year-old man, working as a unskilled worker, with low education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
5662,50070619,BGD,Bangladesh,Q235,"Imagine you are a 60-year-old man, working as a sales worker, with low education, identifying as upper middle class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
5520,50070477,BGD,Bangladesh,Q235,"Imagine you are a 20-year-old woman, who never had a job, with low education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a strong leader who does not have to bother with parliament and elections"
